stop_name,stop_lat,stop_lon,stop_id
Crosswinds at Hudson,42.254679,-73.779016,STOP-e17c74d0-75bd-4c78-b928-d78a94e172a8
N 2nd St & Columbia St,42.255578,-73.792913,STOP-e50320c6-1a50-4a7c-88a2-3221fd0d450e
N Front St & Warren St,42.256517,-73.795909,STOP-71fb5365-5e0a-4f14-9d08-14e17e9f49dd
Hudson AMTRAK Station,42.254018,-73.797612,STOP-22be1bc8-0e59-4687-9517-bc2fa0c252a0
Warren St & S 7th St,42.247438,-73.783713,STOP-0c5b445a-d205-4541-8ee0-e6d7a68fa15f
Columbia Memorial Health,42.24617829116904,-73.77799642218093,STOP-48ef6ea8-1f58-46d6-a6c9-2f40608fd7b5
Columbia County Department of Social Services,42.249318,-73.778615,STOP-3acd83d2-6783-4cfd-9e9b-b47abc21373e
Green St & Fairview Ave,42.255665,-73.760623,STOP-c8a08072-ccce-493a-a7fc-d22bd4480e8a
Greenport Manor,42.256119,-73.765382,STOP-7e028e32-7c19-4aeb-a12b-eed8faaf02e0
Fairview Plaza,42.261395,-73.760099,STOP-7cd6a5bf-7f43-4ce7-9347-23714294f9fb
Apple Meadow Rd,42.265138,-73.763055,STOP-b57dfd9a-3fff-4039-97f6-a7282960a6de
300 Fairview Ave,42.271244,-73.763518,STOP-b986a5a0-b615-4bb1-846f-5a833ae7929e
ShopRite of Chatham,42.272109,-73.759219,STOP-00c4dd04-b9c1-4c7d-8f42-72e96c1d1f6e
Columbia Center,42.278184,-73.750706,STOP-d894d2df-62e3-4b4a-9ac1-808af6ab308b
Greenport Commons,42.278449,-73.760952,STOP-78e37cba-a18a-402a-b32f-32e639ef9dfc
Joslen Commons Apartments,42.276492,-73.763001,STOP-6d7b292e-d97e-49c3-a39c-0d68ded2177a
Greenport Garden Apartments,42.27901595430886,-73.76254577790459,STOP-b9f37c98-0281-4ea0-945d-114f348f692d
Hudson High School,42.25981327461707,-73.77164500060708,STOP-e471e5e5-2887-452d-ad1e-59398e71b660
Front & Warren St,42.256552225503206,-73.79578804195907,STOP-ffe704a6-8fae-4ef7-94fb-b7d3283ff485
3rd & Warren St,42.253057,-73.791352,STOP-095817e8-46bf-48e4-bca2-77f095ed9012
3rd & Columbia St,42.257015,-73.795059,STOP-d15d9800-367d-4195-a211-322880120d20
7th & Warren St,42.247371,-73.783619,STOP-106aa5e7-e0b8-4297-b838-b3129679e848
7th & Columbia St,42.248157,-73.783021,STOP-f493da2b-2c2c-47cd-a091-1e1421a01ed8
Greenport,42.265071,-73.763173,STOP-a16e5f32-c6c8-4f1d-b41e-2961e5d20b18
Stottville,42.286469,-73.752686,STOP-b6c98c61-17e9-463b-ac80-e47e571f2ca1
