shape_id,index
HUD_CHT_1,4
HUD_CHT_1,5
HUD_CHT_1,6
HUD_CHT_1,7
HUD_CHT_1,8
HUD_CHT_1,9
HUD_CHT_1,10
HUD_CHT_1,11
HUD_CHT_1,12
HUD_CHT_1,13
HUD_CHT_1,14
HUD_CHT_1,28
HUD_CHT_1,29
HUD_CHT_1,30
HUD_CHT_1,31
HUD_CHT_1,32
HUD_CHT_1,33
HUD_CHT_1,34
HUD_CHT_1,35
HUD_CHT_1,36
HUD_CHT_1,37
HUD_CHT_1,38
HUD_CHT_2,2
HUD_CHT_2,3
HUD_CHT_2,4
HUD_CHT_2,5
HUD_CHT_2,6
HUD_CHT_2,7
HUD_CHT_2,8
HUD_CHT_2,9
HUD_CHT_2,10
HUD_CHT_2,11
HUD_CHT_2,12
HUD_CHT_2,26
HUD_CHT_2,27
HUD_CHT_2,28
HUD_CHT_2,29
HUD_CHT_2,30
HUD_CHT_2,31
HUD_CHT_2,32
HUD_CHT_2,33
HUD_CHT_2,34
HUD_CHT_2,35
HUD_CHT_2,36
HUD_CHT_3,2
HUD_CHT_3,3
HUD_CHT_3,4
HUD_CHT_3,5
HUD_CHT_3,6
HUD_CHT_3,7
HUD_CHT_3,8
HUD_CHT_3,9
HUD_CHT_3,10
HUD_CHT_3,11
HUD_CHT_3,12
HUD_CHT_3,26
HUD_CHT_3,27
HUD_CHT_3,28
HUD_CHT_3,29
HUD_CHT_3,30
HUD_CHT_3,31
HUD_CHT_3,32
HUD_CHT_3,33
HUD_CHT_3,34
HUD_CHT_3,35
HUD_CHT_3,36
